2026-06-30 10:44:16,427 | INFO | candidate_transformer | Health check called
2026-06-30 12:16:52,715 | INFO | candidate_transformer | ATS JSON parsed: Jane Doe (2 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,717 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,719 | INFO | candidate_transformer | ATS JSON parsed: File Candidate (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,721 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,721 | INFO | candidate_transformer | ATS JSON parsed: John Doe (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,722 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,723 | INFO | candidate_transformer | ATS JSON parsed: Single Name Field (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,725 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,725 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,727 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,728 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,730 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,730 | INFO | candidate_transformer | ATS JSON parsed: None (3 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,731 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,731 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,733 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,733 | INFO | candidate_transformer | ATS JSON parsed: Applicant Wrapper (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:16:52,763 | INFO | candidate_transformer | Fetching GitHub profile for: torvalds
2026-06-30 12:16:52,764 | INFO | candidate_transformer | GitHub profile parsed: Linus Torvalds (3 skills, 1 projects)
2026-06-30 12:16:52,771 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/john-doe-12345
2026-06-30 12:16:52,783 | INFO | candidate_transformer | Parsing LinkedIn URL: linkedin.com/in/sanjay-sarvesh
2026-06-30 12:16:52,791 | INFO | candidate_transformer | Parsing LinkedIn URL: https://example.com/not-linkedin
2026-06-30 12:16:52,792 | WARNING | candidate_transformer | Could not extract LinkedIn username from: https://example.com/not-linkedin
2026-06-30 12:16:52,794 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/dev-engineer
2026-06-30 12:16:52,801 | INFO | candidate_transformer | Parsing LinkedIn URL: 
2026-06-30 12:16:52,802 | WARNING | candidate_transformer | Could not extract LinkedIn username from: 
2026-06-30 12:16:52,803 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/test-user
2026-06-30 12:16:52,815 | INFO | candidate_transformer | Parsing Recruiter CSV...
2026-06-30 12:16:52,816 | INFO | candidate_transformer | Parsing Resume PDF...
2026-06-30 12:16:52,827 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp1t0cqljb.txt
2026-06-30 12:16:52,829 | INFO | candidate_transformer | TXT file parsed: John Doe (3 skills, 0 experience entries)
2026-06-30 12:16:52,832 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp03ptn1n2.txt
2026-06-30 12:16:52,832 | WARNING | candidate_transformer | TXT file is empty, returning empty candidate
2026-06-30 12:16:52,834 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmpfx4n1mi_.txt
2026-06-30 12:16:52,837 | INFO | candidate_transformer | TXT file parsed: Jane Doe (0 skills, 0 experience entries)
2026-06-30 12:16:52,838 | INFO | candidate_transformer | Parsing TXT file: /nonexistent/path.txt
2026-06-30 12:19:25,302 | INFO | candidate_transformer | [34121172-b424-4181-a9f7-1e39a9b0b9bb] GitHub-only transformation: https://github.com/sanjaysarveshcj
2026-06-30 12:19:25,302 | INFO | candidate_transformer | Parsing GitHub URL...
2026-06-30 12:19:25,303 | INFO | candidate_transformer | Fetching GitHub profile for: sanjaysarveshcj
2026-06-30 12:19:28,748 | INFO | candidate_transformer | GitHub profile parsed: Sanjay Sarvesh C J (6 skills, 10 projects)
2026-06-30 12:20:17,471 | INFO | candidate_transformer | [5138f59d-f5de-453a-8281-a46fdf861399] LinkedIn-only transformation: https://linkedin.com/in/sanjaysarveshcj
2026-06-30 12:20:17,471 | INFO | candidate_transformer | Parsing LinkedIn URL...
2026-06-30 12:20:17,472 | INFO | candidate_transformer | Parsing LinkedIn URL: https://linkedin.com/in/sanjaysarveshcj
2026-06-30 12:26:30,665 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,665 | INFO | candidate_transformer | ATS JSON parsed: Sanjay Sarvesh (2 skills, 1 experience entries, 1 education entries)
2026-06-30 12:26:30,669 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,669 | INFO | candidate_transformer | ATS JSON parsed: Jane Doe (2 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,672 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,674 | INFO | candidate_transformer | ATS JSON parsed: File Candidate (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,677 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,677 | INFO | candidate_transformer | ATS JSON parsed: John Doe (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,679 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,680 | INFO | candidate_transformer | ATS JSON parsed: Single Name Field (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,682 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,682 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,684 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,684 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,686 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,686 | INFO | candidate_transformer | ATS JSON parsed: None (3 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,687 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,688 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,689 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,689 | INFO | candidate_transformer | ATS JSON parsed: Applicant Wrapper (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,701 | INFO | candidate_transformer | Parsing recruiter CSV: C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-10\test_csv_parser0\candidate.csv
2026-06-30 12:26:30,717 | INFO | candidate_transformer | CSV loaded with 1 rows
2026-06-30 12:26:30,719 | INFO | candidate_transformer | CSV parsed successfully: John Doe
2026-06-30 12:26:30,732 | INFO | candidate_transformer | Fetching GitHub profile for: torvalds
2026-06-30 12:26:30,732 | INFO | candidate_transformer | GitHub profile parsed: Linus Torvalds (3 skills, 1 projects)
2026-06-30 12:26:30,739 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/john-doe-12345
2026-06-30 12:26:30,754 | INFO | candidate_transformer | Parsing LinkedIn URL: linkedin.com/in/sanjay-sarvesh
2026-06-30 12:26:30,759 | INFO | candidate_transformer | Parsing LinkedIn URL: https://example.com/not-linkedin
2026-06-30 12:26:30,759 | WARNING | candidate_transformer | Could not extract LinkedIn username from: https://example.com/not-linkedin
2026-06-30 12:26:30,761 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/dev-engineer
2026-06-30 12:26:30,766 | INFO | candidate_transformer | Parsing LinkedIn URL: 
2026-06-30 12:26:30,766 | WARNING | candidate_transformer | Could not extract LinkedIn username from: 
2026-06-30 12:26:30,767 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/test-user
2026-06-30 12:26:30,771 | INFO | candidate_transformer | Merging 2 candidate sources: ['Recruiter CSV', 'Resume']
2026-06-30 12:26:30,771 | INFO | candidate_transformer | Resolved 'full_name' from source: Recruiter CSV
2026-06-30 12:26:30,772 | INFO | candidate_transformer | Confidence score for 'Recruiter CSV': 0.95
2026-06-30 12:26:30,772 | INFO | candidate_transformer | Building provenance: field=full_name, source=Recruiter CSV, confidence=0.95
2026-06-30 12:26:30,773 | INFO | candidate_transformer | Resolved 'headline' from source: Recruiter CSV
2026-06-30 12:26:30,773 | INFO | candidate_transformer | Confidence score for 'Recruiter CSV': 0.95
2026-06-30 12:26:30,773 | INFO | candidate_transformer | Building provenance: field=headline, source=Recruiter CSV, confidence=0.95
2026-06-30 12:26:30,773 | INFO | candidate_transformer | No value found for field: 'location'
2026-06-30 12:26:30,773 | INFO | candidate_transformer | List resolved 'emails': 2 unique values from 2 sources
2026-06-30 12:26:30,773 | INFO | candidate_transformer | Normalizing 2 emails...
2026-06-30 12:26:30,773 | INFO | candidate_transformer | Email normalization complete: 2 unique emails
2026-06-30 12:26:30,773 | INFO | candidate_transformer | Confidence score for 'Resume': 0.85
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Building provenance: field=emails, source=Resume, confidence=0.85
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Confidence score for 'Recruiter CSV': 0.95
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Building provenance: field=emails, source=Recruiter CSV, confidence=0.95
2026-06-30 12:26:30,774 | INFO | candidate_transformer | List resolved 'phones': 1 unique values from 1 sources
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Normalizing 1 phone numbers...
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Phone normalization complete: 1 unique numbers
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Confidence score for 'Resume': 0.85
2026-06-30 12:26:30,774 | INFO | candidate_transformer | Building provenance: field=phones, source=Resume, confidence=0.85
2026-06-30 12:26:30,775 | INFO | candidate_transformer | List resolved 'skills': 2 unique values from 2 sources
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Normalizing 2 skills...
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Skill normalization complete: 2 unique skills
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Confidence score for 'Resume': 0.85
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Building provenance: field=skills, source=Resume, confidence=0.85
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Confidence score for 'Recruiter CSV': 0.95
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Building provenance: field=skills, source=Recruiter CSV, confidence=0.95
2026-06-30 12:26:30,775 | INFO | candidate_transformer | List resolved 'links': 0 unique values from 0 sources
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Object list resolved 'experience': 0 unique objects from 0 sources
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Object list resolved 'education': 0 unique objects from 0 sources
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Confidence score for 'Recruiter CSV': 0.95
2026-06-30 12:26:30,775 | INFO | candidate_transformer | Confidence score for 'Resume': 0.85
2026-06-30 12:26:30,776 | INFO | candidate_transformer | Generated candidate ID: d5d3163c330d9db622c8065b0893eb51
2026-06-30 12:26:30,776 | INFO | candidate_transformer | Merge complete: candidate_id=d5d3163c330d9db622c8065b0893eb51, confidence=0.90
2026-06-30 12:26:30,782 | INFO | candidate_transformer | Parsing Recruiter CSV...
2026-06-30 12:26:30,783 | INFO | candidate_transformer | Parsing Resume PDF...
2026-06-30 12:26:30,788 | INFO | candidate_transformer | Starting candidate projection...
2026-06-30 12:26:30,789 | INFO | candidate_transformer | Applying transformer: first
2026-06-30 12:26:30,789 | INFO | candidate_transformer | Applying transformer: first
2026-06-30 12:26:30,789 | INFO | candidate_transformer | Applying transformer: length
2026-06-30 12:26:30,790 | INFO | candidate_transformer | Applying transformer: count
2026-06-30 12:26:30,790 | INFO | candidate_transformer | Applying transformer: exists
2026-06-30 12:26:30,790 | INFO | candidate_transformer | Projection complete: 4 top-level fields
2026-06-30 12:26:30,792 | INFO | candidate_transformer | Starting resume extraction...
2026-06-30 12:26:30,793 | INFO | candidate_transformer | Splitting text into sections...
2026-06-30 12:26:30,794 | INFO | candidate_transformer | Section splitting complete: {'header': 3}
2026-06-30 12:26:30,794 | INFO | candidate_transformer | Sections identified: ['header', 'education', 'experience', 'skills', 'projects', 'certifications', 'achievements']
2026-06-30 12:26:30,794 | INFO | candidate_transformer | Extracting contact information...
2026-06-30 12:26:30,795 | INFO | candidate_transformer | Contact extraction complete: 1 emails, 0 phones, 0 links, 0 LinkedIn, 0 GitHub
2026-06-30 12:26:30,795 | INFO | candidate_transformer | Contacts extracted: 1 emails, 0 phones
2026-06-30 12:26:30,795 | INFO | candidate_transformer | Extracting candidate name from header...
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Name extracted: John Doe
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Name extracted: John Doe
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Extracting skills...
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Skills extracted: 0 skills found
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Skills extracted: 0 skills
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Extracting education information...
2026-06-30 12:26:30,796 | INFO | candidate_transformer | No education section found
2026-06-30 12:26:30,796 | INFO | candidate_transformer | Education extracted: 0 entries
2026-06-30 12:26:30,797 | INFO | candidate_transformer | Extracting experience information...
2026-06-30 12:26:30,797 | INFO | candidate_transformer | Experience extraction complete: 0 entries
2026-06-30 12:26:30,797 | INFO | candidate_transformer | Experience extracted: 0 entries
2026-06-30 12:26:30,797 | INFO | candidate_transformer | Resume extraction completed successfully
2026-06-30 12:26:30,800 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp3fuhzdh1.txt
2026-06-30 12:26:30,802 | INFO | candidate_transformer | Starting resume extraction...
2026-06-30 12:26:30,802 | INFO | candidate_transformer | Splitting text into sections...
2026-06-30 12:26:30,803 | INFO | candidate_transformer | Section detected: skills
2026-06-30 12:26:30,804 | INFO | candidate_transformer | Section detected: experience
2026-06-30 12:26:30,804 | INFO | candidate_transformer | Section splitting complete: {'header': 3, 'experience': 2, 'skills': 1}
2026-06-30 12:26:30,804 | INFO | candidate_transformer | Sections identified: ['header', 'education', 'experience', 'skills', 'projects', 'certifications', 'achievements']
2026-06-30 12:26:30,804 | INFO | candidate_transformer | Extracting contact information...
2026-06-30 12:26:30,804 | INFO | candidate_transformer | Contact extraction complete: 1 emails, 1 phones, 1 links, 0 LinkedIn, 1 GitHub
2026-06-30 12:26:30,804 | INFO | candidate_transformer | Contacts extracted: 1 emails, 1 phones
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Extracting candidate name from header...
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Name extracted: John Doe
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Name extracted: John Doe
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Extracting skills...
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Skills extracted: 3 skills found
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Skills extracted: 3 skills
2026-06-30 12:26:30,806 | INFO | candidate_transformer | Extracting education information...
2026-06-30 12:26:30,806 | INFO | candidate_transformer | No education section found
2026-06-30 12:26:30,807 | INFO | candidate_transformer | Education extracted: 0 entries
2026-06-30 12:26:30,807 | INFO | candidate_transformer | Extracting experience information...
2026-06-30 12:26:30,807 | INFO | candidate_transformer | Experience extraction complete: 0 entries
2026-06-30 12:26:30,808 | INFO | candidate_transformer | Experience extracted: 0 entries
2026-06-30 12:26:30,808 | INFO | candidate_transformer | Resume extraction completed successfully
2026-06-30 12:26:30,808 | INFO | candidate_transformer | TXT file parsed: John Doe (3 skills, 0 experience entries)
2026-06-30 12:26:30,812 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmpmvwu_pg_.txt
2026-06-30 12:26:30,813 | WARNING | candidate_transformer | TXT file is empty, returning empty candidate
2026-06-30 12:26:30,815 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmpk8wytrcy.txt
2026-06-30 12:26:30,817 | INFO | candidate_transformer | Starting resume extraction...
